ID,Species,Site,SpeciesID,Lat,Lon
ApGXL-04-C,Aphaenogaster carolinensis,UNF1,carolinensis,35.3693,79.9745
ApGXL-11-C,Aphaenogaster fulva ,WP3,fulva,39.7256,76.0795
ApGXL-10-C,Aphaenogaster sp.,LVA11,fulva,37.4211,79.181
ApGXL-26-A,Aphaenogaster fulva,MB1,picea,44.5,72.64
ApGXL-17-A,Aphaenogaster picea,Bard10,picea,42.0174,73.9163
APGXL-16-B,Aphaenogaster picea,BRM8,picea,41.404,74.0219
APGXL-16-A,Aphaenogaster picea,BRM4,picea,41.4041,74.0209
ApGXL-20-A,Aphaenogaster picea,APB10,picea,42.7184,73.8561
ApGXL-13-C,Aphaenogaster picea,HSP9,picea,41.0213,75.7173
ApGXL-13-D,Aphaenogaster picea,HSP12,picea,41.0219,75.7172
ApGXL-13-A,Aphaenogaster picea,HSP6,picea,41.0226,75.71777
ApGXL-13-B,Aphaenogaster picea,HSP7,picea,41.0226,75.71777
ApGXL-26-E,Aphaenogaster picea,MB6,picea,44.5,72.64
ApGXL-07-A,Aphaenogaster sp.,BRP2,picea,35.9264,81.9538
ApGXL-07-B,Aphaenogaster sp.,BRP9,picea,35.9264,81.9538
ApGXL-05-B,Aphaenogaster sp.,GSMNP 4,picea,35.6363,83.4938
ApGXL-05-D,Aphaenogaster sp.,GSMNP 5,picea,35.6367,83.493
ApGXL-17-B,Aphaenogaster sp.,Bard9,picea,42.0177,73.9159
ApGXL-20-D,Aphaenogaster sp.,APB8,picea,42.7185,73.8561
ApGXL-15-A,Aphaenogaster sp.,DSF4,picea,41.298,75.0112
ApGXL-15-D,Aphaenogaster sp.,DSF12,picea,41.3044,75.0093
ApGXL-19-A,Aphaenogaster sp.,HF001,picea,42.5628,72.2319
ApGXL-25-A,Aphaenogaster sp.,RW3,picea,44.4906,73.4855
ApGXL-25-D,Aphaenogaster sp.,RW5,picea,44.4906,73.4855
ApGXL-28-B,Aphaenogaster sp.,Brad6,picea,44.9818,68.5174
ApGXL-27-B,Aphaenogaster sp.,KBH1,picea,44.5676,69.9211
ApGXL-27-A,Aphaenogaster sp.,KBH4b,picea,44.5676,69.9214
ApGXL-26-D,Aphaenogaster sp.,MB2,picea,44.5,72.64
ApGXL-20-C,Aphaenogaster sp. ,APB3b,picea,42.7197,73.8566
ApGXL-21-C,Aphaenogaster sp. ,Bear3,picea,43.0993,71.3481
ApGXL-21-B,Aphaenogaster sp. ,Bear5,picea,43.0993,71.3481
ApGXL-21-A,Aphaenogaster sp. ,Bear6,picea,43.0993,71.3481
ApGXL-22-B,Aphaenogaster sp. ,SEB8,picea,43.9237,70.5828
ApGXL-22-C,Aphaenogaster sp. ,SEB9,picea,43.9239,70.5837
ApGXL-23-A,Aphaenogaster sp. ,MM1,picea,44.1111,71.1403
ApGXL-01-B,Aphaenogaster rudis,MagSpr4,rudis,32.8795,81.9571
ApGXL-09-A,Aphaenogaster rudis ,RC12,rudis (S),36.0364,79.0772
ApGXL-08-A,Aphaenogaster rudis ,Ijams6,rudis (N),35.9557,83.864
ApGXL-08-D,Aphaenogaster rudis ,IJams1,rudis (N),35.9568,83.8668
ApGXL-11-A,Aphaenogaster rudis ,WP9,rudis (N),39.7255,76.079
ApGXL-02-B,Aphaenogaster sp.,HW5,rudis (S),33.5556,81.7338
ApGXL-10-B,Aphaenogaster sp.,LVA12,rudis,37.4211,79.181
ApGXL-10-A,Aphaenogaster sp.,LVA9,rudis,37.4211,79.181
