#Metadata,,,,,,,
#Name and contact info: Sara Helms Cahan; scahan@uvm.edu,,,,,,,
#Study name:Hsp modulation of two ant species (Aphaenogaster picea and A. rudis),,,,,,,
"#Financial support: National Science Foundation, Division of Environmental Biology#(1136644)",,,,,,,
#Methods of data collection: Ants were collected along the eastern US and reared under common garden conditions in 2013,,,,,,,
"#Experimental units for each variable:Colony= colony identification, qpcr_block: is the randomized block design for qPCR; FC_83= fold induction for Hsp83; FC_70=fold change for Hsp70; FC_40= fold change for Hsp40; B_83= basal expression(delta delta CT method with the mean as the reference) Hsp83; B_70= basal expression(delta delta CT method with the mean as the reference) Hsp70; B_40= basal expression(delta delta CT method with the mean as the reference) Hsp40",,,,,,,
Colony,qpcr_block,FC_83,FC_70,FC_40,B_83,B_70,B_40
02-A,1,11.86734565,34.22196919,16.18215846,0.515401005,0.701738004,0.081105369
02-C,1,4.780625148,53.32238999,16.53609167,3.233947451,0.729606558,0.082533873
04-A,1,8.636369657,35.58972739,9.249035337,0.533398122,0.227183193,0.013877591
04-C,1,8.718404901,45.92456718,10.47226009,1.602147555,0.737514521,0.903469479
05-B,1,16.98676795,80.89314021,1.235335194,1.696446934,0.093767819,0.895268931
05-D,1,9.396393702,26.21738583,1.988900379,0.256286492,0.349636454,1.506739641
06-A,1,5.605735474,42.67386328,2.361194252,0.153467955,0.164328491,0.883782918
06-B,1,9.720976384,39.40118416,4.851192358,1.223816995,2.271805165,6.559421784
07-A,1,10.19332197,35.52864138,5.249360145,0.637952563,1.643584942,4.994097563
07-B,1,10.13916856,19.15041892,3.985567905,0.389543187,0.738978423,4.036945578
08-A,1,4.896802726,93.30409799,6.005761164,0.412621976,0.222610378,6.955794681
08-D,2,35.85662711,61.00369636,19.9204696,0.419119795,1.76943025,2.002208363
09-A,2,4.523216624,10.93278597,6.078803662,0.665554601,2.566353702,1.425675606
10-A,2,7.878468917,42.71978399,5.059793217,0.422816101,0.508897721,0.890579655
10-F,2,6.231396226,27.28153878,7.161377611,1.157499214,1.817201555,1.231541755
11-A,2,15.02735005,61.59070071,24.26183781,1.983514368,2.879572917,1.263956115
11-B,2,12.50413094,105.2145042,15.18499841,0.230610779,0.311947121,0.657011476
11-C,2,15.2134522,65.92719782,2.544441755,4.533018905,2.306596281,0.093782964
11-D,2,5.948799101,45.75143734,8.883896992,0.278544627,0.253552675,0.357411357
12-A,2,7.747211776,41.34465443,5.858635791,0.879370797,0.792736836,1.508258325
12-D,2,6.526153968,50.61346826,6.903617638,0.869204436,0.36227017,0.738597828
13-A,3,5.836126051,64.01026011,4.729542547,2.040320118,0.503350828,1.572349175
13-B,3,7.046216263,28.9886865,6.818137567,1.683468252,1.174762189,1.558282101
13-C,3,12.04300216,30.16633242,11.75261348,4.770055955,2.904759177,2.119453086
