Colony,treatment,18,70,40,83,qpcr_block
02-A,con,8.712297916,24.12245369,32.34573746,28.52146816,1
02-A,HS,8.097291946,18.41059685,27.71439934,24.33753681,1
02-C,con,9.656218529,25.0101881,33.26446915,26.81585979,1
02-C,HS,8.196856499,17.81415653,27.75756073,23.09929848,1
04-A,con,7.085221529,24.12245369,33.26570129,26.84487438,1
04-A,HS,7.446493387,19.33033657,30.41767025,24.09572124,1
04-B,con,8.098497391,,22.3289547,28.48097324,1
04-B,HS,7.99521637,,28.86722279,24.39529896,1
04-C,con,7.998590708,23.33700752,28.15442371,26.17152119,1
04-C,HS,8.161000252,17.97822285,24.92833233,23.20986652,1
05-B,con,8.684103489,20.47172928,28.85309124,26.77452469,1
05-B,HS,8.393777847,27.10000038,28.25786304,22.39785957,1
05-D,con,8.693555832,25.10878849,28.11150646,29.51066399,1
05-D,HS,8.004516602,19.70729733,29.79251671,25.58951759,1
06-A,con,8.675402164,26.1799078,28.86301899,30.23233032,1
06-A,HS,7.988093376,20.07731819,26.93619347,27.05811787,1
06-B,con,8.911306858,22.62662792,26.20711899,27.47285652,1
06-B,HS,9.096288204,17.51144218,24.11376095,24.37673664,1
07-A,con,8.270401716,22.45271587,25.95955849,27.77181816,1
07-A,HS,9.286141396,18.31754494,24.58315659,25.43800545,1
07-B,con,8.981483459,24.31703949,26.9776001,29.19456577,1
07-B,HS,8.581825256,19.65807724,24.58315659,25.45304012,1
08-A,con,9.070851326,26.13741875,26.28201675,29.20089626,1
08-A,HS,8.973577023,19.4962759,23.59839535,26.81178188,1
25-A,con,8.574084282,24.49811363,25.501791,27.42769337,1
25-A,HS,8.063260555,19.8113842,24.86117554,24.24101353,1
25-C,con,8.31785059,23.81934738,26.89386749,27.73686886,1
25-C,HS,7.830925465,17.40021133,23.24620533,22.53683472,1
25-D,con,8.022489071,23.33198833,24.63375378,28.96251106,1
25-D,HS,8.310022831,19.13704777,25.75220203,23.87223148,1
26-B,con,8.886363983,25.22404289,32.59795761,29.65253735,1
26-B,HS,9.302679539,19.89078331,30.73456192,26.50767136,1
26-C,con,8.94645834,24.73185158,33.67171478,29.40445137,1
26-C,HS,8.795936108,18.79468441,29.74231148,25.88114738,1
26-D,con,8.752451897,22.00574875,30.49324036,29.04575539,1
26-D,HS,8.242311001,16.42357826,25.74286556,24.57094479,1
26-E,con,8.507685661,23.55951786,30.45087814,28.72697735,1
26-E,HS,8.447241783,17.37984562,25.9773407,25.24848175,1
27-A,con,8.024705887,20.29975033,27.34638309,26.35413933,1
27-A,HS,8.485463142,16.94885349,26.94501877,24.63835716,1
27-B,con,8.684090614,24.65004158,31.149436,28.30889225,1
27-B,HS,8.699239731,18.83669472,27.60804653,25.14809704,1
28-A,con,9.432417393,25.74530315,33.8990612,31.11223602,1
28-A,HS,8.549584389,18.78402328,29.01646709,27.77696037,1
28-B,con,9.299277782,23.46274757,,29.17994499,1
28-B,HS,8.183138371,17.02113724,,23.47491646,1
26-A,con,13.5646439,23.46274757,26.33907795,25.38307762,1
26-A,HS,13.2969742,19.5928669,25.87736225,24.20769405,1
08-D,con,8.466335297,22.54221058,27.47412395,28.57383823,2
08-D,HS,9.392100811,17.53715134,24.08370972,24.33543587,2
09-A,con,8.587866783,22.1273,28.08560181,28.02817535,2
09-A,HS,8.832897186,18.9217,25.72684479,26.09585667,2
10-A,con,8.772421837,24.6461,28.94898605,28.86725712,2
10-A,HS,8.949381351,19.4063,26.78686714,26.06630135,2
10-C,con,8.937268734,21.0391,35.31245422,23.78842163,2
10-C,HS,8.854350567,18.6654,37.99756622,23.60724926,2
10-F,con,8.391255856,22.4287,28.10017109,27.03318214,2
10-F,HS,9.141987801,18.4096,26.01066589,25.14435863,2
11-A,con,8.691859245,22.0652,28.36329365,26.5567379,2
11-A,HS,9.634767056,17.0634,24.70558453,23.59012699,2
11-B,con,9.978238583,26.558,30.59362888,30.94764423,2
11-B,HS,9.788406849,19.651,26.4792223,27.11347961,2
11-C,con,8.092661858,21.7861,31.51657295,24.76512718,2
11-C,HS,8.566405296,16.217,30.64296722,21.31159496,2
11-D,con,8.945085049,25.8239,30.43880844,29.64204216,2
11-D,HS,8.676250935,20.0393,27.01878166,26.80060959,2
12-A,con,9.29357338,24.5278,28.71007061,28.33196735,2
12-A,HS,8.779013634,18.6436,25.6449461,24.86373043,2
12-D,con,9.115264893,25.4793,29.56178474,28.17043495,2
12-D,HS,8.389511108,19.0921,26.0486784,24.73844814,2
20-D,con,8.861579418,23.84891319,28.72648621,26.98790169,2
20-D,HS,9.404640198,18.21895313,25.30077076,24.39656448,2
21-A,con,9.450735092,25.20004654,29.25121593,28.37961197,2
21-A,HS,9.292821407,19.53521061,26.312047,25.4619236,2
21-B,con,9.65191555,25.70684242,30.34775734,28.65167427,2
21-B,HS,9.736741543,20.1804409,27.27864265,26.046422,2
21-C,con,9.019677162,21.87080383,29.80203629,25.26168442,2
21-C,HS,9.478067716,18.64600277,26.530653,23.90811253,2
22-A,con,8.353942394,24.03319073,29.36997604,29.75400352,2
22-A,HS,9.127126694,19.17321587,26.34466648,26.40115929,2
22-B,con,9.509373188,25.93678951,30.81620312,29.27695179,2
22-B,HS,9.272169113,20.58728218,28.04417801,26.50834942,2
22-C,con,9.161931992,25.33692169,29.51373005,28.28674603,2
22-C,HS,9.689955711,20.26074886,27.66923714,27.01064873,2
23-A,con,9.082735062,22.03166294,28.45115089,25.92673683,2
23-A,HS,9.132146358,16.99908733,24.46474361,24.32381821,2
23-B,con,9.056361198,25.49002266,30.74290466,29.08929253,2
23-B,HS,9.265341282,19.20266914,25.55257511,24.6504612,2
23-C,con,9.871057987,26.34488106,30.34847355,30.43709755,2
23-C,HS,9.145617485,18.75097084,25.88117409,24.29086876,2
24-A,con,9.816750526,25.37417507,30.77534294,28.72990608,2
24-A,HS,9.397848606,19.90698242,27.29906082,25.84844112,2
24-B,con,9.279444695,22.22798729,30.1171236,30.70417976,2
24-B,HS,9.347938538,18.48674011,26.42089176,25.73635101,2
13-A,con,9.119161129,25.00868511,28.47562027,26.94330311,3
13-A,HS,9.650169373,19.53946209,26.76492786,24.92930031,3
13-B,con,8.961288929,23.62808037,28.33071327,27.06278992,3
13-B,HS,10.35273218,20.16210556,26.95277882,25.63738441,3
13-C,con,8.503573418,21.86431503,27.42926216,25.10250473,3
13-C,HS,9.419885635,17.86575985,24.79066467,22.42869377,3
13-D,con,9.331711769,21.49372292,27.00735474,25.53698158,3
13-D,HS,9.217297554,17.28251553,23.6486845,22.73047352,3
15-A,con,9.087522984,24.77515221,29.29277325,27.23891544,3
15-A,HS,9.595407009,19.22589111,25.91073227,23.80072212,3
15-B,con,9.944190025,24.55892181,28.36958218,28.22273827,3
15-B,HS,9.702048302,18.3144474,25.69073677,24.85513592,3
15-C,con,8.971229553,17.29650116,25.23429394,22.81017303,3
15-C,HS,8.898825169,14.20211124,20.42550659,16.29987812,3
15-D,con,10.32743883,23.04148865,28.72932529,27.0429678,3
15-D,HS,9.156351089,16.63903427,24.01305485,22.98832417,3
16-A,con,9.382316113,25.43044567,29.11409855,31.04312038,3
16-A,HS,9.894874573,19.0844593,25.92158031,28.39738274,3
16-B,con,9.183841228,25.2847681,29.00678444,26.94863605,3
16-B,HS,9.964948654,19.74874783,25.85575294,25.07397747,3
17-A,con,9.862337112,25.68065071,28.94921207,27.38352203,3
17-A,HS,8.859957695,18.43179512,25.01350594,23.32501507,3
17-B,con,10.01007032,26.13043976,29.70585155,27.71142197,3
17-B,HS,9.94195652,20.07605457,26.40644836,25.42390251,3
17-C,con,9.621237755,24.23198795,29.18344879,28.45148468,3
17-C,HS,9.520703316,17.78517246,25.35947514,24.59052944,3
18-A,con,9.259181499,23.55516911,28.77347183,28.10883331,3
18-A,HS,9.752254963,18.079072,25.57176399,24.26050568,3
18-C,con,9.329165936,23.09617424,28.34038258,25.37708187,3
18-C,HS,9.859993935,17.861166,25.15011692,23.24586487,3
18-D,con,9.655069828,22.46226978,27.78007126,26.23446751,3
18-D,HS,9.302111149,18.2779026,24.78951931,23.25925636,3
19-A,con,10.34728146,26.82168579,29.7229166,28.85477924,3
19-A,HS,10.2342248,20.00691605,26.34196186,24.51808929,3
20-A,con,9.86752367,24.78164864,28.41984749,26.59479141,3
20-A,HS,9.980294228,20.15295887,26.27764893,24.77675533,3
20-B,con,9.879520416,24.39494801,28.35636902,27.31518555,3
20-B,HS,9.966872215,19.12045002,26.01718235,24.49768448,3
20-C,con,9.590120792,22.96967697,28.32998085,26.79431343,3
20-C,HS,9.735521317,17.83480453,24.34825325,22.60204887,3
