ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Colony.ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
ApGXL-01-A,01-A,carolinensis,rudis,MagSpr,MS,MS1,MagSpr3,20,26,24.38,0.938,32.8791,81.9572,61,-81.9572,-81.9572,177,139,43,6748,332,10,322,261,182,261,87,1170,127,64,20,362,223,362,299
ApGXL-01-B,01-B,rudis,rudis,MagSpr,MS,MS2,MagSpr4,20,27,33.44,1.239,32.8795,81.9571,67,-81.9571,-81.9571,177,139,43,6748,332,10,322,261,182,261,87,1170,127,64,20,362,223,362,299
ApGXL-01-C,01-C,carolinensis,rudis,MagSpr,MS,MS3,MagSpr7,26,15,18.76,1.251,32.8809,81.9573,64,-81.9573,-81.9573,177,139,43,6748,332,10,322,261,182,261,87,1170,127,64,20,362,223,362,299
ApGXL-02-A,02-A,rudis,rudis,HW,HW,HW1,HW1,20,57,86.83,1.523,33.5553,81.7334,140,-81.7334,-81.7334,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
ApGXL-02-B,02-B,rudis,rudis,HW,HW,HW2,HW5,26,15,17.1,1.14,33.5556,81.7338,164,-81.7338,-81.7338,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
ApGXL-02-C,02-C,rudis,rudis,HW,HW,HW3,HW7,26,45,73.96,1.644,33.5568,81.7289,155,-81.7289,-81.7289,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
ApGXL-03-A,03-A,rudis,rudis,FMU,FM,FM,FMU4,20,39,65.05,1.668,34.1867,79.6483,33,-79.6483,-79.6483,171,130,40,7111,329,5,324,260,127,260,77,1164,146,65,24,396,218,396,264
ApGXL-04-A,04-A,rudis,rudis,UNF,UN,UN1,UNF8,20,100,189.36,1.894,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290
ApGXL-04-B,04-B,rudis,rudis,UNF,UN,UN2,UNF9,20,100,167.13,1.671,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290
ApGXL-04-C,04-C,carolinensis,rudis,UNF,UN,UN3,UNF1,26,NA,NA,NA,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290
ApGXL-05-B,05-B,picea,picea,GSMNP,GP,GP1,GSMNP4,20,100,176.44,1.764,35.6363,83.4938,850,-83.4938,-83.4938,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428
ApGXL-05-D,05-D,picea,picea,GSMNP,GP,GP2,GSMNP5,20,94,188.08,2.001,35.6367,83.493,841,-83.493,-83.493,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428
ApGXL-06-A,06-A,rudis,rudis,DW,DW,DW1,DW2,20,38,59.06,1.554,35.9199,83.9498,289,-83.9498,-83.9498,142,124,36,7902,309,-30,339,53,200,241,37,1269,132,74,15,352,254,325,338
ApGXL-06-B,06-B,rudis,rudis,DW,DW,DW2,DW1,26,100,200.54,2.005,35.92,83.9493,235,-83.9493,-83.9493,142,124,36,7902,309,-30,339,53,200,241,37,1269,132,74,15,352,254,325,338
ApGXL-07-A,07-A,picea,picea,BRP,BP,BP1,BRP2,26,100,190.85,1.909,35.9264,81.9538,1249,-81.9538,-81.9538,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319
ApGXL-07-B,07-B,picea,picea,BRP,BP,BP2,BRP9,20,NA,NA,NA,35.9264,81.9538,NA,-81.9538,-81.9538,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319
ApGXL-08-A,08-A,rudis,rudis,Ijams,IJ,IJ1,Ijams6,20,42,80.2,1.91,35.9557,83.864,303,-83.864,-83.864,142,125,36,7859,308,-30,338,53,199,240,37,1253,129,74,14,345,254,324,331
ApGXL-08-D,08-D,rudis,rudis,IJams,IJ,IJ2,IJams1,26,100,212.8,NA,35.9557,83.864,NA,-83.864,-83.864,142,125,36,7859,308,-30,338,53,199,240,37,1253,129,74,14,345,254,324,331
ApGXL-09-A,09-A,rudis,rudis,RC,RC,RC,RC12,20,49,78.69,1.606,36.0364,79.0772,177,-79.0772,-79.0772,145,133,39,7637,314,-27,341,241,99,241,44,1163,113,82,11,326,257,326,279
ApGXL-10-A,10-A,rudis,rudis,LVA,LA,LA1,LVA9,20,100,167.37,1.674,37.4211,79.181,194,-79.181,-79.181,134,129,37,7929,307,-39,346,215,29,234,29,1073,107,76,10,294,238,286,238
ApGXL-10-B,10-B,rudis,rudis,LVA,LA,LA2,LVA12,20,100,164.48,1.645,37.4211,79.181,194,-79.181,-79.181,134,129,37,7929,307,-39,346,215,29,234,29,1073,107,76,10,294,238,286,238
ApGXL-10-C,10-C,fulva,fulva,LVA,LA,LA3,LVA11,26,NA,NA,NA,37.4211,79.181,194,-79.181,-79.181,134,129,37,7929,307,-39,346,215,29,234,29,1073,107,76,10,294,238,286,238
ApGXL-10-F,10-F,rudis,rudis,LVA,LA,LA4,LVA9,26,NA,NA,NA,37.4211,79.181,194,-79.181,-79.181,134,129,37,7929,307,-39,346,215,29,234,29,1073,107,76,10,294,238,286,238
ApGXL-11-A,11-A,rudis,rudis,WP,WP,WP1,WP9,26,96,222.68,2.32,39.7255,76.079,292,-76.079,-76.079,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
ApGXL-11-B,11-B,rudis,rudis,WP,WP,WP2,WP11,20,100,188.6,1.886,39.7255,76.0789,292,-76.0789,-76.0789,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
ApGXL-11-C,11-C,fulva,fulva,WP,WP,WP3,WP3,26,85,159.24,1.873,39.7258,76.0786,295,-76.0786,-76.0786,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
ApGXL-11-D,11-D,rudis,rudis,WP,WP,WP4,WP6,20,51,112.23,2.201,39.7261,76.0786,305,-76.0786,-76.0786,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
ApGXL-12-A,12-A,picea,picea,NOCK,NK,NK1,NOCK6,20,39,101.43,2.601,40.4392,75.25847,NA,-75.25847,-75.25847,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250
ApGXL-12-D,12-D,rudis,rudis,NOCK,NK,NK2,NOCK8,20,60,132.19,2.203,40.4396,75.25933,NA,-75.25933,-75.25933,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250
ApGXL-13-A,13-A,picea,picea,HSP,HP,HP1,HSP6,20,100,184.46,1.845,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-B,13-B,picea,picea,HSP,HP,HP2,HSP7,20,100,190.03,1.9,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-C,13-C,picea,picea,HSP,HP,HP3,HSP9,26,NA,NA,NA,41.0213,75.7173,NA,-75.7173,-75.7173,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-D,13-D,picea,picea,HSP,HP,HP4,HSP12,26,NA,NA,NA,41.0219,75.7172,NA,-75.7172,-75.7172,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-15-A,15-A,picea,picea,DSF,DF,DF1,DSF4,20,35,60.94,1.741,41.298,75.0112,NA,-75.0112,-75.0112,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-B,15-B,picea,picea,DSF,DF,DF2,DSF11,20,100,254.89,2.549,41.3046,75.0098,NA,-75.0098,-75.0098,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-C,15-C,picea,picea,DSF,DF,DF3,DSF8,26,28,66.02,2.358,41.3012,75.0109,NA,-75.0109,-75.0109,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-D,15-D,picea,picea,DSF,DF,DF4,DSF12,26,68,172.86,2.542,41.3044,75.0093,NA,-75.0093,-75.0093,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
APGXL-16-A,16-A,picea,picea,BRM,BM,BM1,BRM4,20,75,205.95,2.746,41.4041,74.0209,NA,-74.0209,-74.0209,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269
APGXL-16-B,16-B,picea,picea,BRM,BM,BM2,BRM8,20,100,170.02,1.7,41.404,74.0219,NA,-74.0219,-74.0219,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269
ApGXL-17-A,17-A,picea,picea,Bard,BA,BA1,Bard10,20,87,220.41,2.533,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-17-B,17-B,picea,picea,Bard,BA,BA2,Bard9,20,69,149.3,2.164,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-17-C,17-C,picea,picea,Bard,BA,BA3,Bard3,26,94,223.4,2.377,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-18-A,18-A,fulva,fulva,Notch,NO,NO1,Notch1,20,100,268.27,2.683,42.4983,73.0043,NA,-73.0043,-73.0043,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278
