ID,Colony ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2
ApGXL-01-A,MagSpr3,20,26,24.38,0.938,32.8791,81.9572,61,-81.9572
ApGXL-01-B,MagSpr4,20,27,33.44,1.239,32.8795,81.9571,67,-81.9571
ApGXL-01-C,MagSpr7,26,15,18.76,1.251,32.8809,81.9573,64,-81.9573
ApGXL-02-A,HW1,20,57,86.83,1.523,33.5553,81.7334,140,-81.7334
ApGXL-02-B,HW5,26,15,17.1,1.14,33.5556,81.7338,164,-81.7338
ApGXL-02-C,HW7,26,45,73.96,1.644,33.5568,81.7289,155,-81.7289
ApGXL-03-A,FMU4,20,39,65.05,1.668,34.1867,79.6483,33,-79.6483
ApGXL-04-A,UNF8,20,100,189.36,1.894,35.3693,79.9745,210,-79.9745
ApGXL-04-B,UNF9,20,100,167.13,1.671,35.3693,79.9745,210,-79.9745
ApGXL-04-C,UNF1,26,,,,35.3693,79.9745,210,-79.9745
ApGXL-05-B,GSMNP4,20,100,176.44,1.764,35.6363,83.4938,850,-83.4938
ApGXL-05-D,GSMNP5,20,94,188.08,2.001,35.6367,83.493,841,-83.493
ApGXL-06-A,DW2,20,38,59.06,1.554,35.9199,83.9498,289,-83.9498
ApGXL-06-B,DW1,26,100,200.54,2.005,35.92,83.9493,235,-83.9493
ApGXL-07-A,BRP2,26,100,190.85,1.909,35.9264,81.9538,1249,-81.9538
ApGXL-07-B,BRP9,20,,,,35.9264,81.9538,,-81.9538
ApGXL-08-A,Ijams6,20,42,80.2,1.91,35.9557,83.864,303,-83.864
ApGXL-08-D,IJams1,26,100,212.8,,35.9557,83.864,,-83.864
ApGXL-09-A,RC12,20,49,78.69,1.606,36.0364,79.0772,177,-79.0772
ApGXL-10-A,LVA9,20,100,167.37,1.674,37.4211,79.181,194,-79.181
ApGXL-10-B,LVA12,20,100,164.48,1.645,37.4211,79.181,194,-79.181
ApGXL-10-C,LVA11,26,,,,37.4211,79.181,194,-79.181
ApGXL-10-F,LVA9,26,,,,37.4211,79.181,194,-79.181
ApGXL-11-A,WP9,26,96,222.68,2.32,39.7255,76.079,292,-76.079
ApGXL-11-B,WP11,20,100,188.6,1.886,39.7255,76.0789,292,-76.0789
ApGXL-11-C,WP3,26,85,159.24,1.873,39.7258,76.0786,295,-76.0786
ApGXL-11-D,WP6,20,51,112.23,2.201,39.7261,76.0786,305,-76.0786
ApGXL-12-A,NOCK6,20,39,101.43,2.601,40.4392,75.25847,,-75.25847
ApGXL-12-D,NOCK8,20,60,132.19,2.203,40.4396,75.25933,,-75.25933
ApGXL-13-A,HSP6,20,100,184.46,1.845,41.0226,75.71777,,-75.71777
ApGXL-13-B,HSP7,20,100,190.03,1.9,41.0226,75.71777,,-75.71777
ApGXL-13-C,HSP9,26,,,,41.0213,75.7173,,-75.7173
ApGXL-13-D,HSP12,26,,,,41.0219,75.7172,,-75.7172
ApGXL-15-A,DSF4,20,35,60.94,1.741,41.298,75.0112,,-75.0112
ApGXL-15-B,DSF11,20,100,254.89,2.549,41.3046,75.0098,,-75.0098
ApGXL-15-C,DSF8,26,28,66.02,2.358,41.3012,75.0109,,-75.0109
ApGXL-15-D,DSF12,26,68,172.86,2.542,41.3044,75.0093,,-75.0093
