ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
ApGXL-20-A,20-A,picea,picea,APB,AP,AP1,20,NA,NA,NA,42.7184,73.8561,NA,-73.8561,-73.8561,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195
ApGXL-17-A,17-A,picea,picea,Bard,BA,BA1,20,87,220.41,2.533,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-21-A,21-A,picea,picea,Bear,BE,BE1,20,100,204.14,2.041,43.0993,71.3481,NA,-71.3481,-71.3481,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255
APGXL-16-A,16-A,picea,picea,BRM,BM,BM1,20,75,205.95,2.746,41.4041,74.0209,NA,-74.0209,-74.0209,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269
ApGXL-07-A,07-A,picea,picea,BRP,BP,BP1,26,100,190.85,1.909,35.9264,81.9538,1249,-81.9538,-81.9538,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319
ApGXL-28-A,28-A,picea,picea,Brad,BR,BR1,20,63,153.17,2.431,44.9341,68.5284,NA,-68.5284,-68.5284,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275
ApGXL-15-A,15-A,picea,picea,DSF,DF,DF1,20,35,60.94,1.741,41.298,75.0112,NA,-75.0112,-75.0112,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-06-A,06-A,rudis,rudis,DW,DW,DW1,20,38,59.06,1.554,35.9199,83.9498,289,-83.9498,-84.5498,142,124,36,7902,309,-30,339,53,200,241,37,1269,132,74,15,352,254,325,338
ApGXL-24-A,24-A,picea,picea,EW0,EW,EW1,20,40,110.81,2.77,44.4397,73.1969,978,-73.1969,-73.1969,69,112,27,10121,272,-136,408,195,-55,195,-67,876,102,45,23,279,149,279,154
ApGXL-05-B,05-B,picea,picea,GSMNP,GP,GP1,20,100,176.44,1.764,35.6363,83.4938,850,-83.4938,-83.0938,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428
ApGXL-19-A,19-A,picea,picea,HF,HF,HF,20,63,124.26,NA,42.5313,72.1898,NA,-72.1898,-71.9898,69,123,31,9272,264,-126,390,185,-43,185,-56,1137,104,80,8,303,257,303,262
ApGXL-13-A,13-A,picea,picea,HSP,HP,HP1,20,100,184.46,1.845,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-02-A,02-A,rudis,rudis,HW,HW,HW1,20,57,86.83,1.523,33.5553,81.7334,140,-81.7334,-81.7334,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
ApGXL-08-A,08-A,rudis,rudis,Ijams,IJ,IJ1,20,42,80.2,1.91,35.9557,83.864,303,-83.864,-83.664,142,125,36,7859,308,-30,338,53,199,240,37,1253,129,74,14,345,254,324,331
ApGXL-27-A,27-A,picea,picea,KBH,KH,KH1,26,100,206.76,2.068,44.5675,69.9211,NA,-69.9211,-69.9211,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258
ApGXL-10-A,10-A,rudis,rudis,LVA,LA,LA1,20,100,167.37,1.674,37.4211,79.181,194,-79.181,-79.181,134,129,37,7929,307,-39,346,215,29,234,29,1073,107,76,10,294,238,286,238
ApGXL-26-A,26-A,picea,picea,MB,MB,MB1,20,100,265.18,2.652,44.5,72.64,236,-72.64,-72.14,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-23-A,23-A,picea,picea,MM,MM,MM1,26,60,128.51,2.142,44.1111,71.1403,NA,-71.1403,-71.3403,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285
ApGXL-12-A,12-A,picea,picea,NOCK,NK,NK1,20,39,101.43,2.601,40.4392,75.25847,NA,-75.25847,-75.25847,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250
ApGXL-18-A,18-A,fulva,fulva,Notch,NO,NO1,20,100,268.27,2.683,42.4983,73.0043,NA,-73.0043,-73.0043,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278
ApGXL-09-A,09-A,rudis,rudis,RC,RC,RC,20,49,78.69,1.606,36.0364,79.0772,177,-79.0772,-79.0772,145,133,39,7637,314,-27,341,241,99,241,44,1163,113,82,11,326,257,326,279
ApGXL-25-A,25-A,picea,picea,RW,RW,RW1,20,100,274.91,2.749,44.4906,73.4855,NA,-73.4855,-74.2355,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149
ApGXL-22-A,22-A,picea,picea,SEB,SE,SE1,26,100,246.16,2.462,43.9235,70.5828,NA,-70.5828,-70.5828,69,123,30,9549,266,-135,401,23,180,189,-59,1152,124,83,12,333,257,267,280
ApGXL-22-C,22-C,picea,picea,SEB,SE,SE3,20,100,255.01,2.55,43.9239,70.5837,NA,-70.5837,-70.5837,68,124,30,9564,266,-137,403,22,179,188,-60,1155,125,83,12,334,259,269,281
ApGXL-04-A,04-A,rudis,rudis,UNF,UN,UN1,20,100,189.36,1.894,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290
ApGXL-11-A,11-A,rudis,rudis,WP,WP,WP1,26,96,222.68,2.32,39.7255,76.079,292,-76.079,-76.079,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
