,ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Tree_site2,tree_color,pch,Colony.ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,qpcr_block,FC_83,FC_70,FC_40,B_83,B_70,B_40,Axis.1,Axis.2,Axis.3,Axis.4
1,ApGXL-02-A,02-A,rudis,rudis,HW,HW,HW1,HW1,brown,15,HW1,20,57,86.83,1.523,33.5553,81.7334,140,-81.7334,-81.7334,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318,1,11.86734565,34.22196919,16.18215846,0.515401005,0.701738004,0.081105369,0.196445932,0.045914043,0.148117611,0.005200775
2,ApGXL-02-C,02-C,rudis,rudis,HW,HW,HW3,HW2,brown,15,HW7,26,45,73.96,1.644,33.5568,81.7289,155,-81.7289,-81.7289,168,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318,1,4.780625148,53.32238999,16.53609167,3.233947451,0.729606558,0.082533873,0.195476186,0.045138114,0.146294408,0.00515333
3,ApGXL-04-A,04-A,rudis,rudis,UNF,UN,UN1,UN1,brown,15,UNF8,20,100,189.36,1.894,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290,1,8.636369657,35.58972739,9.249035337,0.533398122,0.227183193,0.013877591,0.178191283,0.031441223,0.112950385,0.004065221
4,ApGXL-04-C,04-C,carolinensis,rudis,UNF,UN,UN3,UN2,brown,15,UNF1,26,NA,NA,NA,35.3693,79.9745,210,-79.9745,-79.9745,152,129,38,7508,317,-18,335,247,106,247,52,1197,126,79,13,349,260,349,290,1,8.718404901,45.92456718,10.47226009,1.602147555,0.737514521,0.903469479,0.175858891,0.029813437,0.111232606,0.004426291
5,ApGXL-05-B,05-B,picea,picea,GSMNP,GP,GP1,GP1,blue,19,GSMNP4,20,100,176.44,1.764,35.6363,83.4938,850,-83.4938,-83.4938,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428,1,16.98676795,80.89314021,1.235335194,1.696446934,0.093767819,0.895268931,-0.07943799,0.012359245,-0.001742879,0.011175886
6,ApGXL-05-D,05-D,picea,picea,GSMNP,GP,GP2,GP2,blue,19,GSMNP5,20,94,188.08,2.001,35.6367,83.493,841,-83.493,-83.493,95,124,38,7073,250,-68,318,14,103,183,1,1686,171,111,10,457,373,428,428,1,9.396393702,26.21738583,1.988900379,0.256286492,0.349636454,1.506739641,-0.063800805,0.007181677,-8.08E-05,0.009152262
7,ApGXL-06-A,06-A,rudis,rudis,DW,DW,DW1,DW1,orange,17,DW2,20,38,59.06,1.554,35.9199,83.9498,289,-83.9498,-83.9498,142,124,36,7902,309,-30,339,53,200,241,37,1269,132,74,15,352,254,325,338,1,5.605735474,42.67386328,2.361194252,0.153467955,0.164328491,0.883782918,0.188199467,0.035797968,-0.07232073,0.003275809
8,ApGXL-06-B,06-B,rudis,rudis,DW,DW,DW2,DW2,orange,17,DW1,26,100,200.54,2.005,35.92,83.9493,235,-83.9493,-83.9493,142,124,36,7902,309,-30,339,53,200,241,37,1269,132,74,15,352,254,325,338,1,9.720976384,39.40118416,4.851192358,1.223816995,2.271805165,6.559421784,0.175135371,0.026362117,-0.055811801,0.003574221
9,ApGXL-07-A,07-A,picea,picea,BRP,BP,BP1,BP1,blue,19,BRP2,26,100,190.85,1.909,35.9264,81.9538,1249,-81.9538,-81.9538,104,125,39,7057,260,-60,320,176,26,193,10,1445,139,103,9,392,319,389,319,1,10.19332197,35.52864138,5.249360145,0.637952563,1.643584942,4.994097563,-0.095511842,0.017952032,-0.003580648,0.014153898
10,ApGXL-08-A,08-A,rudis,rudis,Ijams,IJ,IJ1,IJ1,orange,17,Ijams6,20,42,80.2,1.91,35.9557,83.864,303,-83.864,-83.864,142,125,36,7859,308,-30,338,53,199,240,37,1253,129,74,14,345,254,324,331,1,4.896802726,93.30409799,6.005761164,0.412621976,0.222610378,6.955794681,0.190514314,0.037549319,-0.075567837,0.003261378
